#,נושא,גוון,עוצמה,תיאור,מפתח,BPM,תגיות AI,סטטוס,URL
74,חגיגה,אנרגטי,2,עוצמה - beat,E,110,"עוצמה, beat, אנרגיה, חזק",לא התחיל,
75,חגיגה,אנרגטי,3,פתיחה - הופעה - כניסה,D,118,"פתיחה, הופעה, כניסה, גדול",לא התחיל,
76,אובדן,עצב עמוק,1,דממה אחרי אובדן,Am,48,"דממה, אובדן, שקט, כבד",לא התחיל,
77,אובדן,עצב עמוק,2,כאב שקט,Dm,50,"כאב, שקט, עצב, פנימי",לא התחיל,
78,אובדן,עצב עמוק,3,בכי פנימי,Am,45,"בכי, פנימי, עצב, עמוק",לא התחיל,
79,אובדן,עצב עמוק,4,שבר - קריסה,Dm,42,"שבר, קריסה, עצב שיא, כבד מאוד",לא התחיל,
80,אובדן,אבל,1,לאחר אובדן,Am,48,"אחרי, אובדן, ריק, כבד",לא התחיל,
81,אובדן,אבל,2,אובדן אדם אהוב,Dm,45,"אובדן, אדם אהוב, אבל, כאב",לא התחיל,
82,אובדן,אבל,3,עצב שלא עובר,Am,42,"עצב, לא עובר, עמוק, קבוע",לא התחיל,
83,אובדן,אבל,4,ריק - כבד - עוצר נשימה,Dm,40,"ריק, כבד, אוצר נשימה, עוצמה שקטה",לא התחיל,
84,ריפוי,ריפוי,1,ניצוץ ראשון של תקווה,C,55,"תקווה, ניצוץ, ראשון, אור",לא התחיל,
85,ריפוי,ריפוי,2,מתחיל לנשום,G,58,"נשימה, התחלה, התאוששות, קל יותר",לא התחיל,
86,ריפוי,ריפוי,3,קם - ממשיך,C,62,"קם, ממשיך, קדימה, כוח",לא התחיל,
87,ריפוי,ריפוי,4,שלמות אחרי שבר,G,65,"שלמות, אחרי, שבר, חזק יותר",לא התחיל,
88,הרהור,הרהור,1,מחשבות שקטות,Em,52,"מחשבות, שקט, פנימי, לבד",לא התחיל,
89,הרהור,הרהור,2,התבוננות פנימה,Am,55,"התבוננות, פנימה, מודעות, שקט",לא התחיל,
90,הרהור,הרהור,3,שאלות גדולות,Em,58,"שאלות, גדול, משמעות, עומק",לא התחיל,
91,שחרור,שחרור,1,להרפות,C,58,"לשחרר, לוותר, להרפות, קלות",לא התחיל,
92,שחרור,שחרור,2,לשחרר מה שהיה,G,62,"שחרור, עבר, קדימה, חופשי",לא התחיל,
93,שחרור,שחרור,3,חופש אחרי כבדות,C,68,"חופש, אחרי, קלות, הקלה",לא התחיל,
94,אוניברסלי,אמביינט,1,נייטרלי - עדין,C,55,"נייטרלי, עדין, רקע, כללי",לא התחיל,
95,אוניברסלי,אמביינט,2,רקע עדין לכל תוכן,G,58,"רקע, עדין, כללי, אמביינט",לא התחיל,
96,אוניברסלי,אמביינט,3,מלא אבל לא מכריע,F,62,"מלא, לא מכריע, מאוזן, כללי",לא התחיל,
97,אוניברסלי,אמביינט,4,עוצמה כללית,C,65,"עוצמה, כללי, מלא, אמביינט",לא התחיל,
98,אוניברסלי,מיוחד,1,שקט כמעט מוחלט,Am,45,"שקט, מינימל, כמעט ריק, עדין",לא התחיל,
99,אוניברסלי,מיוחד,2,אווירה - מינימל,Em,48,"אווירה, מינימל, עדין, רקע",לא התחיל,
100,אוניברסלי,מיוחד,3,ציפייה - פתיחה,G,60,"ציפייה, פתיחה, התחלה, אופטימי",לא התחיל,
