#,סט,מס' בסט,מפתח,BPM,כלי,גוון רגשי,תיאור,סטטוס,URL,startOffset
56,6,6,G,82,פסנתר + מיתרים,חגיגי,דמעות שמחה,לא התחיל,,20
57,6,7,G,82,פסנתר + מיתרים,חגיגי,חום חגיגי,לא התחיל,,20
58,6,8,G,82,פסנתר + מיתרים,חגיגי,גאווה קולקטיבית,לא התחיל,,20
59,6,9,G,82,פסנתר + מיתרים,חגיגי,אבן דרך חגיגית,לא התחיל,,20
60,6,10,G,82,פסנתר + מיתרים,חגיגי,שמחה מלאה,לא התחיל,,20
61,7,1,D,92,אורקסטרה,אירוע גדול,חגיגה גדולה,לא התחיל,,20
62,7,2,D,92,אורקסטרה,אירוע גדול,שמחת חתונה,לא התחיל,,20
63,7,3,D,92,אורקסטרה,אירוע גדול,שמחת בר מצווה,לא התחיל,,20
64,7,4,D,92,אורקסטרה,אירוע גדול,ניצחון אפי,לא התחיל,,20
65,7,5,D,92,אורקסטרה,אירוע גדול,שמחת קהילה,לא התחיל,,20
66,7,6,D,92,אורקסטרה,אירוע גדול,הדר ושמחה,לא התחיל,,20
67,7,7,D,92,אורקסטרה,אירוע גדול,אבן דרך גדולה,לא התחיל,,20
68,7,8,D,92,אורקסטרה,אירוע גדול,שיא חגיגי,לא התחיל,,20
69,7,9,D,92,אורקסטרה,אירוע גדול,יחד בשמחה,לא התחיל,,20
70,7,10,D,92,אורקסטרה,אירוע גדול,אושר עצום,לא התחיל,,20
71,8,1,A,104,אנסמבל אנרגטי,אנרגיה,ניצחון אנרגטי,לא התחיל,,20
72,8,2,A,104,אנסמבל אנרגטי,אנרגיה,ניצחון ספורטיבי,לא התחיל,,20
73,8,3,A,104,אנסמבל אנרגטי,אנרגיה,פריצת דרך דינמית,לא התחיל,,20
74,8,4,A,104,אנסמבל אנרגטי,אנרגיה,מומנטום בלתי נעצר,לא התחיל,,20
75,8,5,A,104,אנסמבל אנרגטי,אנרגיה,ביצוע שיא,לא התחיל,,20
76,8,6,A,104,אנסמבל אנרגטי,אנרגיה,הישג מרגש,לא התחיל,,20
77,8,7,A,104,אנסמבל אנרגטי,אנרגיה,כוח קדימה,לא התחיל,,20
78,8,8,A,104,אנסמבל אנרגטי,אנרגיה,ניצחון בפעולה,לא התחיל,,20
79,8,9,A,104,אנסמבל אנרגטי,אנרגיה,שיא אאופורי,לא התחיל,,20
80,8,10,A,104,אנסמבל אנרגטי,אנרגיה,אנרגיית ניצחון,לא התחיל,,20
81,9,1,F,66,גיטרה אקוסטית + מיתרים,אינטימי,הרהור חמים,לא התחיל,,20
82,9,2,F,66,גיטרה אקוסטית + מיתרים,אינטימי,זיכרון עדין,לא התחיל,,20
83,9,3,F,66,גיטרה אקוסטית + מיתרים,אינטימי,רגע משפחתי,לא התחיל,,20
84,9,4,F,66,גיטרה אקוסטית + מיתרים,אינטימי,סיפור אהבה עדין,לא התחיל,,20
85,9,5,F,66,גיטרה אקוסטית + מיתרים,אינטימי,קשר אינטימי,לא התחיל,,20
86,9,6,F,66,גיטרה אקוסטית + מיתרים,אינטימי,ביחד בשקט,לא התחיל,,20
87,9,7,F,66,גיטרה אקוסטית + מיתרים,אינטימי,ריפוי חמים,לא התחיל,,20
88,9,8,F,66,גיטרה אקוסטית + מיתרים,אינטימי,גאווה עדינה,לא התחיל,,20
89,9,9,F,66,גיטרה אקוסטית + מיתרים,אינטימי,ביטרסוויט חמים,לא התחיל,,20
90,9,10,F,66,גיטרה אקוסטית + מיתרים,אינטימי,נוסטלגיה עדינה,לא התחיל,,20
91,10,1,C,60,פסנתר אמביינט,אוניברסלי,נייטרלי חמים,לא התחיל,,20
92,10,2,C,60,פסנתר אמביינט,אוניברסלי,רקע עדין,לא התחיל,,20
93,10,3,C,60,פסנתר אמביינט,אוניברסלי,כללי עדין,לא התחיל,,20
94,10,4,C,60,פסנתר אמביינט,אוניברסלי,שקט מאוזן,לא התחיל,,20
95,10,5,C,60,פסנתר אמביינט,אוניברסלי,פתוח ואמביינט,לא התחיל,,20
96,10,6,C,60,פסנתר אמביינט,אוניברסלי,כללי חמים,לא התחיל,,20
97,10,7,C,60,פסנתר אמביינט,אוניברסלי,קולנועי עדין,לא התחיל,,20
98,10,8,C,60,פסנתר אמביינט,אוניברסלי,אווירה כללית,לא התחיל,,20
99,10,9,C,60,פסנתר אמביינט,אוניברסלי,הרהור אמביינט,לא התחיל,,20
100,10,10,C,60,פסנתר אמביינט,אוניברסלי,שלווה אוניברסלית,לא התחיל,,20
101,11,1,Em,110,סינטסייזר + ביטים,דיגיטלי,אנרגיה דיגיטלית,לא התחיל,,20
102,11,2,Em,110,סינטסייזר + ביטים,דיגיטלי,מתח חשמלי,לא התחיל,,20
103,11,3,Em,110,סינטסייזר + ביטים,דיגיטלי,התרוממות,לא התחיל,,20
104,11,4,Em,110,סינטסייזר + ביטים,דיגיטלי,ניצחון חשמלי,לא התחיל,,20
105,11,5,Em,110,סינטסייזר + ביטים,דיגיטלי,תנועה דינמית,לא התחיל,,20
106,11,6,Em,110,סינטסייזר + ביטים,דיגיטלי,עוצמה דיגיטלית,לא התחיל,,20
107,11,7,Em,110,סינטסייזר + ביטים,דיגיטלי,פריצה,לא התחיל,,20
108,11,8,Em,110,סינטסייזר + ביטים,דיגיטלי,ציפייה,לא התחיל,,20
109,11,9,Em,110,סינטסייזר + ביטים,דיגיטלי,שחרור אנרגטי,לא התחיל,,20
110,11,10,Em,110,סינטסייזר + ביטים,דיגיטלי,שיא חשמלי,לא התחיל,,20
